#run,lumi,evt
274241,640,1072086793
275311,565,702660844
274969,764,1376989233
274335,498,943794324
275073,350,629825896
275291,20,33607334
274971,330,500387162
275074,292,469781604
275074,468,738118954
274388,562,1041614097
275375,430,689040225
274422,755,1320297548
274200,581,926144706
275836,216,419996565
276097,70,126989677
276282,742,1301733238
276283,692,1252562683
275833,94,181434173
275911,131,141931426
275658,298,576528723
276242,1017,1950307101
276363,116,213785915
276776,603,1025593231
276315,180,280008869
276811,154,257163792
276437,1987,3513660179
276454,385,609415811
276525,1960,3384294524
276437,65,26817753
276363,1018,1826129137
276363,582,1031903265
276525,1469,2496575201
276437,454,757163965
276811,1644,2781397187
276501,1153,1935084876
276542,435,702175698
276543,358,683454966
276776,1748,2875150262
276318,429,742576265
276811,331,584041621
276808,94,190321662
276808,47,95148652
276811,404,726310209
276808,128,258115055
276831,294,475359712
277194,1209,2119299210
276935,149,147489515
277148,517,839449230
277168,1808,3234574898
277305,150,159249872
277194,539,870674554
277073,69,108247924
277168,2129,3711915791
276831,1107,2011289325
276831,1923,3493060612
277168,1905,3381404441
277194,1754,3115367219
276950,1146,2093381998
277127,631,1194718597
277070,217,396501317
276870,1377,2499678331
276948,339,648943971
278349,382,697779416
278366,186,381064303
278803,105,178033801
278308,368,589637205
278406,457,703607504
278017,580,898753374
278808,1451,2557281125
278308,1077,1842939224
278018,814,1502614518
278803,195,344408038
278770,379,732119474
278770,564,1086286740
280251,370,656924162
278820,837,1537592461
279760,328,483908125
279716,1063,1896918957
278969,117,102876002
278975,504,795564295
280349,255,485911864
279760,588,961259754
279841,187,247163075
279931,1719,2961426423
279654,720,1370724680
278874,262,511023738
279767,770,1266384957
279766,610,1137720150
279931,1810,3097065103
279931,2443,4211321157
279588,1159,2055154631
280017,285,513798583
279841,1283,2230137961
280191,284,523078260
279029,130,211615744
278962,308,455575293
280015,137,250014233
278963,137,245439712
279841,1763,3076552524
279975,942,1610183799
279694,408,746076168
280018,485,843004675
279975,831,1402254402
279931,592,954061193
279841,487,789593684
280363,84,135551056
280363,348,590899038
278822,1116,1919352677
279760,417,646334666
279694,177,318000741
278820,1059,1955058750
279691,99,63924282
282037,1622,2830060835
282037,281,526706306
282731,149,283400064
282734,222,440545385
282734,272,542396084
282807,204,402763076
282814,1130,2049904107
282814,523,1019934660
281693,361,682537220
283043,146,262814177
283049,91,57331574
283052,14,22979736
283270,1911,3244474953
283270,1049,1731695498
283270,148,148706414
283307,445,849982912
281707,336,410522558
283353,97,69005995
283408,1585,2764615153
283408,885,1486501995
283478,926,1460426388
283680,35,50046745
283682,255,472003080
283820,1399,2465421676
283865,180,313351051
283865,952,1689275024
283877,261,479814255
283884,500,536697081
283885,741,1347354165
283885,216,384083882
283885,1692,2954912008
283934,426,698791110
283934,186,307907787
283946,890,1411621230
284035,116,190814732
281797,1522,2585557437
281797,546,754850625
281797,1161,1909999088
281976,567,1000675003
281976,386,681953760
276384,571,845958603
276653,282,410503366
275125,574,1054469602
276776,511,856248606
276437,1221,2227876390
276542,809,1367537428
276935,688,1097481744
276870,1014,1776606886
